City,Lat,Lng,Max Temp (F),Cloudiness,Humidity,Wind Speed,Country,Date
Los Llanos de Aridane,28.6585,-17.9182,64.4,0,63,5.75,ES,1619578636
Provideniya,64.3833,-173.3,32.0,90,80,6.71,RU,1619578637
Avarua,-21.2078,-159.775,82.4,87,74,6.91,CK,1619578637
Rikitea,-23.1203,-134.9692,76.96,100,74,11.99,PF,1619578382
Bambous Virieux,-20.3428,57.7575,77.0,75,88,11.5,MU,1619578638
Hambantota,6.1241,81.1185,82.4,20,94,3.44,LK,1619578638
Chaman,30.9236,66.4512,78.24,100,18,3.96,PK,1619578638
Cosalá,24.4125,-106.6908,72.0,73,89,2.51,MX,1619578638
Bredasdorp,-34.5322,20.0403,48.2,90,93,3.44,ZA,1619578639
Jambi City,-1.6,103.6167,87.26,99,64,1.41,ID,1619578639
Oxbow,49.2333,-102.1676,50.0,5,45,4.18,CA,1619578640
Afşin,38.2477,36.914,52.11,94,51,1.92,TR,1619578640
Barrow,71.2906,-156.7887,19.4,90,86,4.61,US,1619578640
Hermanus,-34.4187,19.2345,55.99,38,91,4.81,ZA,1619578641
Mataura,-46.1927,168.8643,55.99,100,85,13.0,NZ,1619578641
Assomada,15.1,-23.6833,69.8,20,78,14.97,CV,1619578641
Touros,-5.1989,-35.4608,77.0,40,88,3.44,BR,1619578642
Beringovskiy,63.05,179.3167,33.49,99,96,7.05,RU,1619578642
Vaini,-21.2,-175.2,77.0,75,78,13.8,TO,1619578428
Albany,42.6001,-73.9662,55.0,82,45,1.25,US,1619578642
Cape Town,-33.9258,18.4232,57.99,26,93,2.3,ZA,1619578410
Airai,-8.9266,125.4092,75.4,8,33,1.7,TL,1619578643
Westport,41.1415,-73.3579,53.6,1,58,4.41,US,1619578588
Songea,-10.6833,35.65,61.68,64,98,1.57,TZ,1619578643
Lebu,-37.6167,-73.65,54.63,49,94,2.59,CL,1619578644
Merauke,-8.4667,140.3333,84.02,46,71,8.21,ID,1619578644
Labytnangi,66.6572,66.4183,31.15,91,92,4.9,RU,1619578644
Mwinilunga,-11.7358,24.4293,58.73,40,94,2.51,ZM,1619578645
Upernavik,72.7868,-56.1549,25.02,99,90,7.67,GL,1619578645
Butaritari,3.0707,172.7902,82.24,93,76,7.96,KI,1619578646
Port Lincoln,-34.7333,135.8667,70.47,77,43,3.02,AU,1619578373
Santa Isabel,-23.3156,-46.2214,64.4,40,82,4.61,BR,1619578646
Calvinia,-31.4707,19.776,52.02,94,76,4.54,ZA,1619578452
Dikson,73.5069,80.5464,32.67,100,89,19.39,RU,1619578647
Khatanga,71.9667,102.5,30.16,87,79,6.44,RU,1619578647
Jamestown,42.097,-79.2353,68.0,75,49,12.66,US,1619578600
Yellowknife,62.456,-114.3525,19.4,75,45,13.8,CA,1619578403
Japura,-0.3167,102.35,87.39,99,63,1.12,ID,1619578648
Krasnosel'kup,65.7,82.4667,32.43,100,99,10.56,RU,1619578648
Carnarvon,-24.8667,113.6333,87.8,0,22,8.05,AU,1619578648
Sampit,-2.5333,112.95,83.1,100,81,2.26,ID,1619578649
Kobrinskoye,59.4225,30.1239,33.8,90,86,2.24,RU,1619578649
Nikolskoye,59.7035,30.7861,35.01,90,86,2.24,RU,1619578650
Punta Arenas,-53.15,-70.9167,41.0,75,87,13.8,CL,1619578650
Ushuaia,-54.8,-68.3,41.0,75,100,2.73,AR,1619578650
Kuandian,40.7286,124.7847,57.78,2,29,15.86,CN,1619578650
Vilyuysk,63.7553,121.6247,26.13,68,69,7.78,RU,1619578651
Shakhovskaya,56.0283,35.5097,33.46,79,88,7.61,RU,1619578651
Kruisfontein,-34.0033,24.7314,54.0,100,92,2.37,ZA,1619578652
Faanui,-16.4833,-151.75,81.77,60,72,11.14,PF,1619578652
Hualmay,-11.0964,-77.6139,66.13,99,89,8.32,PE,1619578652
Lusambo,-4.9667,23.45,68.61,62,98,1.03,CD,1619578653
Arraial do Cabo,-22.9661,-42.0278,72.63,97,84,8.01,BR,1619578653
Mar del Plata,-38.0023,-57.5575,60.01,0,93,10.8,AR,1619578401
Prado,-17.3411,-39.2208,74.35,15,79,6.53,BR,1619578654
Vila Franca do Campo,37.7167,-25.4333,59.0,75,82,9.22,PT,1619578654
Bluff,-46.6,168.3333,55.99,76,85,13.0,NZ,1619578655
Hong Kong,22.2855,114.1577,80.01,96,85,1.01,HK,1619578655
Sur,22.5667,59.5289,88.92,96,31,8.93,OM,1619578655
Isangel,-19.55,169.2667,78.8,75,73,11.5,VU,1619578656
Lensk,60.7253,114.9278,29.98,90,67,2.48,RU,1619578656
Saint-François,46.4154,3.9054,50.0,100,81,2.89,FR,1619578656
São Filipe,14.8961,-24.4956,71.8,31,76,10.16,CV,1619578657
Saint George,37.1041,-113.5841,60.8,1,33,16.11,US,1619578657
Atuona,-9.8,-139.0333,79.95,17,72,12.59,PF,1619578637
Saint Paul Harbor,57.79,-152.4072,44.6,90,81,20.71,US,1619578658
Bambanglipuro,-7.95,110.2833,84.58,44,64,13.02,ID,1619578658
Sørland,67.667,12.6934,37.04,34,62,12.86,NO,1619578659
Muscat,23.6139,58.5922,93.2,0,31,3.44,OM,1619578494
Saint Simons,31.1352,-81.3901,69.8,1,78,8.05,US,1619578534
Mahébourg,-20.4081,57.7,77.0,75,88,11.5,MU,1619578659
Sechura,-5.5569,-80.8222,70.9,99,73,13.4,PE,1619578660
Faya,18.3851,42.4509,59.0,0,82,2.26,SA,1619578660
Hobart,-42.8794,147.3294,66.0,75,48,12.66,AU,1619578446
Qaanaaq,77.484,-69.3632,33.49,100,92,4.68,GL,1619578661
Muzhi,65.3667,64.6667,32.68,100,84,6.89,RU,1619578661
Puerto Ayora,-0.7393,-90.3518,75.2,40,90,6.91,EC,1619578661
Cherskiy,68.75,161.3,29.89,97,80,13.47,RU,1619578662
Saskylakh,71.9167,114.0833,31.32,99,86,12.06,RU,1619578662
Espoo,60.25,24.6667,28.99,0,93,8.05,FI,1619578663
Yar-Sale,66.8333,70.8333,31.8,100,94,5.68,RU,1619578442
Cockburn Town,21.4612,-71.1419,78.39,61,74,19.46,TC,1619578663
Port Blair,11.6667,92.75,86.0,40,79,5.75,IN,1619578372
Bathsheba,13.2167,-59.5167,78.8,20,65,13.8,BB,1619578664
Ngunguru,-35.6167,174.5,64.0,40,62,5.99,NZ,1619578664
Geraldton,-28.7667,114.6,80.6,1,29,4.61,AU,1619578664
Deputatsky,69.3,139.9,19.13,99,83,4.7,RU,1619578665
Mahon,39.8885,4.2658,55.4,75,94,5.75,ES,1619578665
Klyuchi,52.2667,79.1667,65.28,100,34,16.24,RU,1619578665
Ribeira Grande,38.5167,-28.7,59.97,48,82,12.44,PT,1619578666
Port Hedland,-20.3167,118.5667,93.2,0,14,14.97,AU,1619578666
Quatre Cocos,-20.2078,57.7625,77.0,75,88,11.5,MU,1619578666
Port Alfred,-33.5906,26.891,64.74,100,76,8.01,ZA,1619578451
Bengkulu,-3.8004,102.2655,84.2,50,67,2.06,ID,1619578667
Marystown,47.1666,-55.1483,38.28,29,92,7.34,CA,1619578668
Lahat,-3.8,103.5333,87.94,24,54,1.68,ID,1619578668
East London,-33.0153,27.9116,64.08,100,71,6.49,ZA,1619578668
Laguna,38.421,-121.4238,77.0,1,16,5.75,US,1619578669
Klaksvík,62.2266,-6.589,39.2,75,75,9.22,FO,1619578669
Busselton,-33.65,115.3333,71.74,4,64,2.59,AU,1619578669
Dehlorān,32.6941,47.2679,79.12,100,36,4.9,IR,1619578670
Jacqueville,5.2052,-4.4146,75.2,20,94,4.61,CI,1619578670
Acajutla,13.5928,-89.8275,75.0,100,84,1.01,SV,1619578670
Cabo San Lucas,22.8909,-109.9124,70.0,1,72,17.27,MX,1619578671
Vila Velha,-20.3297,-40.2925,75.2,0,88,3.44,BR,1619578372
Ponta do Sol,32.6667,-17.1,59.0,100,82,1.99,PT,1619578671
Rocha,-34.4833,-54.3333,50.47,0,90,4.54,UY,1619578672
Dublyany,49.9041,24.0864,37.4,0,65,6.71,UA,1619578575
Grimshaw,56.1834,-117.6027,17.6,90,73,9.22,CA,1619578672
New Norfolk,-42.7826,147.0587,66.0,98,71,4.0,AU,1619578673
Hilo,19.7297,-155.09,82.4,75,47,4.61,US,1619578673
Bangassou,4.7413,22.8184,67.32,74,96,1.88,CF,1619578673
Bonavista,48.6499,-53.1147,36.0,100,100,3.44,CA,1619578674
Sayyan,15.1718,44.3244,57.24,14,67,1.79,YE,1619578674
Lexington,37.9887,-84.4777,68.0,1,52,6.91,US,1619578468
Numan,9.4667,12.0333,84.29,64,53,10.78,NG,1619578675
Saint-Philippe,-21.3585,55.7679,78.8,90,78,6.91,RE,1619578675
Hithadhoo,-0.6,73.0833,82.36,97,66,1.05,MV,1619578676
Mehamn,71.0357,27.8492,28.4,75,59,21.85,NO,1619578676
Moree,-29.4667,149.85,73.4,0,40,5.75,AU,1619578676
Watsa,3.0372,29.5355,62.76,91,94,2.68,CD,1619578677
Leningradskiy,69.3833,178.4167,26.06,37,82,9.44,RU,1619578677
Vestmannaeyjar,63.4427,-20.2734,43.38,4,78,18.75,IS,1619578677
Severnyy,50.677,36.5532,33.8,0,86,6.71,RU,1619578678
Kahului,20.8947,-156.47,80.6,40,65,10.36,US,1619578417
Solnechnyy,50.7214,136.6319,53.56,100,58,3.91,RU,1619578678
Yarmouth,41.7057,-70.2286,52.0,1,40,9.22,US,1619578678
Jacareacanga,-6.2222,-57.7528,72.16,100,99,2.19,BR,1619578679
Tessalit,20.1986,1.0114,86.02,2,16,3.38,ML,1619578679
Lorengau,-2.0226,147.2712,86.22,12,66,7.96,PG,1619578679
Valdivia,-39.8142,-73.2459,60.8,90,82,8.05,CL,1619578680
Polyarny,69.1989,33.4478,26.6,40,80,2.24,RU,1619578680
Mercedes,-34.6515,-59.4307,55.99,4,77,6.51,AR,1619578680
Haines Junction,60.7522,-137.5108,35.6,57,30,5.75,CA,1619578681
Vigrestad,58.5667,5.7,33.8,40,86,4.85,NO,1619578681
Belogorsk,50.9158,128.4611,53.47,100,51,8.01,RU,1619578681
Fukuechō,32.6881,128.8419,64.4,75,100,5.75,JP,1619578682
Clyde River,70.4692,-68.5914,17.6,1,73,3.44,CA,1619578682
Qūchān,37.106,58.5095,67.03,44,29,4.05,IR,1619578682
Acapulco de Juárez,16.8634,-99.8901,80.6,1,83,4.61,MX,1619578664
Stolberg,50.7667,6.2333,39.0,0,74,4.56,DE,1619578683
Fortuna,40.5982,-124.1573,51.8,1,82,6.91,US,1619578642
Aykhal,66.0,111.5,27.05,34,86,11.72,RU,1619578683
Lompoc,34.6391,-120.4579,57.2,3,67,8.05,US,1619578681
Poli,-3.3333,36.8,59.83,100,96,3.85,TZ,1619578684
Kamaishi,39.2667,141.8833,53.6,75,62,3.44,JP,1619578684
Pabradė,55.0,25.7833,37.4,75,81,6.91,LT,1619578685
Chui,-33.6971,-53.4616,52.03,0,84,5.97,UY,1619578685
Tuatapere,-46.1333,167.6833,55.99,88,85,13.0,NZ,1619578686
Adrar,20.5022,-10.0711,78.21,43,23,14.16,MR,1619578686
Kaitangata,-46.2817,169.8464,52.21,92,69,9.37,NZ,1619578686
Hirara,24.8,125.2833,78.8,40,61,11.5,JP,1619578687
Salalah,17.0151,54.0924,82.4,40,74,4.61,OM,1619578687
Plettenberg Bay,-34.0527,23.3716,58.86,100,86,1.45,ZA,1619578688
Troitsko-Pechorsk,62.7084,56.1964,39.2,85,85,4.83,RU,1619578688
Sisimiut,66.9395,-53.6735,31.5,22,92,5.06,GL,1619578688
Bousso,10.4795,16.7117,85.75,62,37,2.3,TD,1619578689
Namatanai,-3.6667,152.4333,83.41,40,75,7.94,PG,1619578689
Bon Accord,53.8335,-113.4187,32.0,20,59,8.05,CA,1619578689
Codrington,-38.2667,141.9667,61.48,100,60,3.53,AU,1619578690
Santiago,-33.4569,-70.6483,64.99,0,82,3.44,CL,1619578667
Hofn,64.2539,-15.2082,40.37,5,62,16.46,IS,1619578690
Deniliquin,-35.5333,144.9667,72.0,0,46,2.51,AU,1619578691
Almaznyy,48.0448,40.045,46.4,40,76,8.95,RU,1619578691
Severo-Yeniseyskiy,60.3725,93.0408,37.13,58,83,4.23,RU,1619578691
Kloulklubed,7.0419,134.2556,86.0,75,74,6.91,PW,1619578692
Kavieng,-2.5744,150.7967,83.7,30,71,7.16,PG,1619578692
Cap Malheureux,-19.9842,57.6142,75.0,100,90,7.0,MU,1619578692
Erdenet,49.0333,104.0833,42.28,100,38,11.14,MN,1619578693
Kangaatsiaq,68.3065,-53.4641,31.71,100,90,8.41,GL,1619578693
Albania,41.0,20.0,50.0,0,81,2.3,AL,1619578693
Ganj Murādābād,26.9667,80.1833,97.43,0,9,6.02,IN,1619578694
Khartoum,15.5518,32.5324,87.01,74,36,12.3,SD,1619578694
Ilulissat,69.2167,-51.1,35.6,75,69,5.75,GL,1619578694
Killybegs,54.6333,-8.45,44.01,49,88,1.99,IE,1619578695
Port Elizabeth,-33.918,25.5701,62.6,75,82,6.91,ZA,1619578695
Lagoa,39.05,-27.9833,59.58,100,77,10.22,PT,1619578695
Saint-Pierre,-21.3393,55.4781,77.0,90,78,6.91,RE,1619578696
Hay River,60.8156,-115.7999,21.2,67,38,8.05,CA,1619578696
Kalmunai,7.4167,81.8167,83.61,94,71,4.7,LK,1619578697
Almaty,43.25,76.95,64.4,20,45,2.71,KZ,1619578697
Kapaa,22.0752,-159.319,77.0,75,78,9.22,US,1619578697
Rome,43.2128,-75.4557,55.4,40,47,8.05,US,1619578698
Iringa,-7.7667,35.7,60.08,91,95,4.23,TZ,1619578698
Tuktoyaktuk,69.4541,-133.0374,17.6,20,67,10.36,CA,1619578698
Natal,-5.795,-35.2094,77.0,20,94,5.75,BR,1619578655
Chokurdakh,70.6333,147.9167,29.8,100,96,6.4,RU,1619578699
Winnemucca,40.973,-117.7357,55.4,20,30,5.75,US,1619578699
Narsaq,60.9167,-46.05,39.2,12,70,5.75,GL,1619578700
Yelizovo,53.1873,158.3805,44.6,40,76,11.18,RU,1619578700
Casper,42.8666,-106.3131,46.4,90,71,8.05,US,1619578653
Lata,40.1629,-8.3327,59.0,57,87,3.24,PT,1619578700
Esim,4.8699,-2.2405,81.01,100,85,6.78,GH,1619578701
Ailigandí,9.2333,-78.0167,79.21,97,75,11.16,PA,1619578701
Matara,5.9485,80.5353,84.24,87,73,5.75,LK,1619578702
Konëvo,62.1215,39.3192,30.09,100,93,5.08,RU,1619578702
Limoeiro do Ajuru,-1.8953,-49.3806,76.05,100,90,7.07,BR,1619578702
Asău,46.4333,26.4,39.2,75,93,3.44,RO,1619578703
Pisco,-13.7,-76.2167,64.4,0,94,6.91,PE,1619578703
Torbay,47.6666,-52.7314,41.0,90,87,6.91,CA,1619578703
Arica,-18.475,-70.3042,64.4,0,72,5.75,CL,1619578704
Shenjiamen,29.9576,122.298,62.98,100,88,9.08,CN,1619578704
Khovd,48.0056,91.6419,55.11,99,23,5.32,MN,1619578705
Constitución,-35.3333,-72.4167,57.18,25,64,7.94,CL,1619578705
Bakel,14.905,-12.4568,89.91,32,13,12.15,SN,1619578705
Zhezkazgan,47.8043,67.7144,53.6,0,43,11.18,KZ,1619578706
Tiksi,71.6872,128.8694,18.09,100,79,13.56,RU,1619578706
Bairiki Village,1.3292,172.9752,86.0,40,70,5.75,KI,1619578707
Yamada,39.4667,141.95,64.6,100,48,7.87,JP,1619578707
Estreito,-5.7833,-43.25,75.9,70,77,2.26,BR,1619578707
Hamilton,39.1834,-84.5333,71.6,1,72,6.91,US,1619578708
Severo-Kuril'sk,50.6789,156.125,34.36,100,94,16.26,RU,1619578709
Vila do Maio,15.1333,-23.2167,69.8,20,78,14.97,CV,1619578709
Alofi,-19.0595,-169.9187,82.4,75,89,11.5,NU,1619578709
Dovolnoye,54.4958,79.6671,50.83,100,82,10.51,RU,1619578710
Monmouth,40.3001,-74.1663,55.0,1,82,4.61,US,1619578710
Charlestown,-32.95,151.6667,73.0,78,79,5.84,AU,1619578711
Waingapu,-9.6567,120.2641,82.94,6,58,6.62,ID,1619578711
Highland Springs,37.546,-77.3278,73.99,75,49,11.5,US,1619578711
Iralaya,15.0,-83.2333,79.16,59,76,8.19,HN,1619578712
Port Moresby,-9.4431,147.1797,77.0,90,94,5.75,PG,1619578712
Praia,14.9215,-23.5087,69.8,20,78,14.97,CV,1619578713
Vallenar,-28.5708,-70.7581,58.1,35,85,0.83,CL,1619578713
Mongu,-15.2484,23.1274,64.8,59,80,4.63,ZM,1619578713
Coquimbo,-29.9533,-71.3436,55.4,0,94,2.3,CL,1619578714
Castro,-24.7911,-50.0119,52.68,0,92,3.96,BR,1619578714
Itaocara,-21.6692,-42.0761,67.73,4,96,2.62,BR,1619578714
Tasiilaq,65.6145,-37.6368,32.0,100,93,6.91,GL,1619578715
Havre-St-Pierre,50.2334,-63.5986,37.4,90,100,3.44,CA,1619578715
Marquette,46.5333,-87.6335,37.0,100,86,4.0,US,1619578716
Zhuhai,22.2769,113.5678,80.6,40,88,6.91,CN,1619578716
Vanimo,-2.6741,141.3028,86.5,10,63,4.85,PG,1619578716
The Valley,18.217,-63.0578,79.0,75,83,14.97,AI,1619578717
San Rafael,-34.6177,-68.3301,62.96,0,57,8.43,AR,1619578717
Fort Nelson,58.8053,-122.7002,19.4,75,68,3.44,CA,1619578717
Okhotsk,59.3833,143.3,32.29,100,76,2.77,RU,1619578718
Toora-Khem,52.4675,96.11,41.41,100,74,3.31,RU,1619578718
Berdigestyakh,62.0989,126.6992,26.04,98,70,10.45,RU,1619578719
Longyearbyen,78.2186,15.6401,17.6,40,73,8.05,SJ,1619578719
Nouadhibou,20.931,-17.0347,64.4,0,94,10.36,MR,1619578679
Biasca,46.3597,8.9697,53.6,40,87,3.44,CH,1619578719
Banda Aceh,5.5577,95.3222,85.59,92,65,6.51,ID,1619578720
Gambēla,8.25,34.5833,75.22,91,69,3.85,ET,1619578720
Padang,-0.9492,100.3543,84.2,20,74,3.44,ID,1619578720
Port Hardy,50.6996,-127.4199,48.2,90,100,6.91,CA,1619578721
Northam,51.0333,-4.2167,46.0,86,89,3.0,GB,1619578721
São José da Coroa Grande,-8.8978,-35.1478,77.09,8,87,6.4,BR,1619578722
Belyy Yar,53.6039,91.3903,46.4,75,93,4.47,RU,1619578722
Biltine,14.5333,20.9167,79.9,3,12,12.06,TD,1619578722
Zeven,53.3,9.2833,37.0,6,78,7.94,DE,1619578723
Linay,8.5167,123.1333,84.25,62,69,13.67,PH,1619578723
Sangre Grande,10.5835,-61.1177,78.01,20,83,6.91,TT,1619578723
Borba,-4.3878,-59.5939,73.33,98,98,1.03,BR,1619578724
Batticaloa,7.7102,81.6924,82.89,98,73,5.7,LK,1619578724
Ginir,7.1333,40.7,58.06,74,89,3.74,ET,1619578725
Altamira,-3.2033,-52.2064,72.64,100,98,1.88,BR,1619578725
Ahipara,-35.1667,173.1667,63.16,19,54,10.42,NZ,1619578725
Nishihara,26.1842,127.7558,77.0,75,73,12.66,JP,1619578726
Saint-Michel-des-Saints,46.6834,-73.9159,37.45,100,56,2.57,CA,1619578726
Thompson,55.7435,-97.8558,21.2,75,49,11.5,CA,1619578727
Zaoyang,32.1272,112.7542,70.29,97,52,7.49,CN,1619578727
Karratha,-20.7377,116.8463,90.57,0,17,16.17,AU,1619578727
Mackenzie,55.2999,-123.1698,37.4,90,93,6.91,CA,1619578728
Nanortalik,60.1432,-45.2371,34.07,28,90,6.06,GL,1619578729
Sribne,50.6638,32.9187,32.81,0,77,6.22,UA,1619578729
Kirovskiy,45.0917,133.5136,50.09,100,81,8.93,RU,1619578730
Garden City,42.3256,-83.331,71.6,75,46,8.05,US,1619578511
Ortona,42.3496,14.4039,57.2,90,88,2.3,IT,1619578731
Shache,38.4167,77.2406,68.85,0,16,8.68,CN,1619578731
Assiut,27.181,31.1837,62.6,0,67,11.5,EG,1619578732
Pio IX,-6.8375,-40.5792,73.71,94,73,4.21,BR,1619578732
Kerema,-7.9631,145.7785,83.66,64,74,8.03,PG,1619578732
Teknāf,20.8624,92.3058,86.49,64,66,4.56,BD,1619578733
Nyurba,63.2842,118.3319,30.29,47,55,4.07,RU,1619578733
Gamboula,4.1178,15.1393,67.59,100,96,2.1,CF,1619578733
Gulu,2.7746,32.299,64.33,100,97,5.53,UG,1619578734
Esmeraldas,-19.7625,-44.3139,66.2,40,100,2.73,BR,1619578734
Christchurch,-43.5333,172.6333,57.2,6,47,4.61,NZ,1619578734
Tulun,54.5611,100.5792,41.54,80,66,2.04,RU,1619578735
Agüimes,27.9054,-15.4461,66.2,75,63,5.75,ES,1619578735
Batemans Bay,-35.7167,150.1833,72.0,92,71,7.0,AU,1619578735
Xai-Xai,-25.0519,33.6442,67.24,0,79,3.89,MZ,1619578736
Obodivka,48.4051,29.2477,33.57,76,69,1.5,UA,1619578736
Katsuura,35.1333,140.3,70.0,75,60,20.71,JP,1619578736
Dvinskoy,62.1535,45.1175,35.13,100,98,3.49,RU,1619578737
Palatka,29.6486,-81.6376,69.01,63,75,4.43,US,1619578737
Koumac,-20.5667,164.2833,77.58,2,54,20.13,NC,1619578737
Beroroha,-21.6667,45.1667,69.06,0,88,3.22,MG,1619578738
Samarai,-10.6167,150.6667,79.14,100,80,8.68,PG,1619578738
Aksu,41.1231,80.2644,68.79,0,16,1.7,CN,1619578738
Kisangani,0.5167,25.2,70.02,81,99,1.61,CD,1619578739
Opuwo,-18.0607,13.84,62.06,16,55,1.72,NA,1619578739
Ekhabi,53.5102,142.9671,34.05,48,66,16.73,RU,1619578739
Smithers,54.7804,-127.1743,42.8,90,87,2.3,CA,1619578740
